Step,big,narrow,wide
0,2.347581015,0.116766285,0.08592056
1,0.460167218,0.029152583,0.011140548
2,0.17413026,0.00843842,0.005540849
3,0.051278313,0.002191097,0.001849055
4,0.033374504,0.00121696,0.000775541
5,0.009389265,0.000666663,0.000361083
6,0.006233091,0.000384858,0.000234609
7,0.002172001,0.000254797,0.000173234
8,0.001340172,0.000186679,0.000134265
9,0.000525794,0.000146819,0.000114879
10,0.000370145,0.000125083,9.3664E-05
11,0.000191692,0.000116258,8.61203E-05
12,0.000148731,0.0001083,7.7514E-05
13,0.000121856,0.000104898,7.28437E-05
14,9.98414E-05,0.000100755,6.76865E-05
15,8.97762E-05,9.70817E-05,6.46005E-05
16,8.28127E-05,9.33819E-05,6.17231E-05
17,7.6999E-05,9.05022E-05,5.96484E-05
18,7.3077E-05,8.73674E-05,5.63548E-05
19,6.97524E-05,8.4677E-05,5.424E-05
20,6.66379E-05,8.17676E-05,5.25613E-05
21,6.36261E-05,7.98297E-05,5.08952E-05
22,6.06078E-05,7.67828E-05,4.91865E-05
23,5.85257E-05,7.53408E-05,4.76446E-05
24,5.61911E-05,7.37087E-05,4.61167E-05
25,5.45321E-05,7.09538E-05,4.49756E-05
26,5.24025E-05,6.81015E-05,4.40336E-05
27,5.04317E-05,6.61147E-05,4.31052E-05
28,4.89277E-05,6.42683E-05,4.17238E-05
29,4.73274E-05,6.27481E-05,4.0902E-05
30,4.61768E-05,6.11665E-05,4.00256E-05
31,4.51447E-05,5.98623E-05,3.91791E-05
32,4.44858E-05,5.82553E-05,3.87743E-05
33,4.29293E-05,5.70456E-05,3.78638E-05
34,4.19967E-05,5.5754E-05,3.71885E-05
35,4.10776E-05,5.43814E-05,3.66291E-05
36,4.05758E-05,5.35279E-05,3.62081E-05
37,3.97613E-05,5.24882E-05,3.56555E-05
38,3.91541E-05,5.17137E-05,3.55528E-05
39,3.85861E-05,5.07163E-05,3.50779E-05
40,3.79742E-05,4.96655E-05,3.46839E-05
41,3.75129E-05,4.92201E-05,3.40071E-05
42,3.72422E-05,4.81559E-05,3.36636E-05
43,3.69152E-05,4.76235E-05,3.33567E-05
44,3.62447E-05,4.71612E-05,3.30099E-05
45,3.58589E-05,4.65484E-05,3.27364E-05
46,3.55955E-05,4.61083E-05,3.25591E-05
47,3.5046E-05,4.53636E-05,3.22516E-05
48,3.48985E-05,4.47323E-05,3.20595E-05
49,3.46313E-05,4.40338E-05,3.20436E-05
50,3.42001E-05,4.34639E-05,3.15991E-05
51,3.39531E-05,4.31958E-05,3.15435E-05
52,3.35477E-05,4.24187E-05,3.1253E-05
53,3.3317E-05,4.17372E-05,3.10458E-05
54,3.30716E-05,4.14515E-05,3.0788E-05
55,3.28509E-05,4.11071E-05,3.0608E-05
56,3.28187E-05,4.02702E-05,3.04811E-05
57,3.2461E-05,3.9712E-05,3.02548E-05
58,3.23607E-05,3.92707E-05,3.0111E-05
59,3.23825E-05,3.90209E-05,2.99397E-05
60,3.19992E-05,3.85718E-05,2.97976E-05
61,3.1759E-05,3.81606E-05,2.96825E-05
62,3.1599E-05,3.7994E-05,2.95909E-05
63,3.13609E-05,3.78221E-05,2.94592E-05
64,3.12486E-05,3.72636E-05,2.93219E-05
65,3.14224E-05,3.68175E-05,2.92654E-05
66,3.14824E-05,3.6613E-05,2.92228E-05
67,3.10309E-05,3.6318E-05,2.90311E-05
68,3.07561E-05,3.61291E-05,2.88628E-05
69,3.09873E-05,3.5929E-05,2.88601E-05
70,3.06719E-05,3.57654E-05,2.87922E-05
71,3.05576E-05,3.56506E-05,2.85576E-05
72,3.02338E-05,3.53465E-05,2.85331E-05
73,3.00342E-05,3.48095E-05,2.85108E-05
74,2.98714E-05,3.45616E-05,2.83702E-05
75,2.99269E-05,3.42996E-05,2.82457E-05
76,2.95436E-05,3.39991E-05,2.8195E-05
77,2.94491E-05,3.37007E-05,2.83132E-05
78,2.96522E-05,3.35239E-05,2.8077E-05
79,2.93926E-05,3.32234E-05,2.7904E-05
80,2.90498E-05,3.31088E-05,2.79238E-05
81,2.91259E-05,3.28248E-05,2.78765E-05
82,2.90633E-05,3.26013E-05,2.7766E-05
83,2.8802E-05,3.25497E-05,2.76991E-05
84,2.86757E-05,3.24512E-05,2.759E-05
85,2.85943E-05,3.23566E-05,2.76632E-05
86,2.85423E-05,3.19596E-05,2.76668E-05
87,2.84369E-05,3.18932E-05,2.74443E-05
88,2.8329E-05,3.181E-05,2.75008E-05
89,2.8277E-05,3.15235E-05,2.7806E-05
90,2.81751E-05,3.14357E-05,2.75231E-05
91,2.81641E-05,3.12398E-05,2.72361E-05
92,2.81808E-05,3.11491E-05,2.72608E-05
93,2.79701E-05,3.08898E-05,2.71626E-05
94,2.80187E-05,3.07153E-05,2.70942E-05
95,2.7933E-05,3.05657E-05,2.71502E-05
96,2.77782E-05,3.05354E-05,2.71277E-05
97,2.7731E-05,3.03677E-05,2.71011E-05
98,2.78823E-05,3.02874E-05,2.70938E-05
99,2.76405E-05,3.02011E-05,2.69378E-05
