Step,hidden100,hidden2,hidden1
0,0.067684235,0.078541911,0.08592056
1,0.007140208,0.015532634,0.011140548
2,0.003797501,0.004656709,0.005540849
3,0.002228159,0.001688886,0.001849055
4,0.001262581,0.001079411,0.000775541
5,0.00070748,0.000591507,0.000361083
6,0.000364469,0.000312971,0.000234609
7,0.000185871,0.000201053,0.000173234
8,0.000112214,0.000154785,0.000134265
9,8.3065E-05,0.000115531,0.000114879
10,7.42163E-05,9.91157E-05,9.3664E-05
11,6.77376E-05,8.64178E-05,8.61203E-05
12,6.02738E-05,7.90328E-05,7.7514E-05
13,5.54498E-05,7.1486E-05,7.28437E-05
14,5.23759E-05,6.69466E-05,6.76865E-05
15,4.88125E-05,6.26093E-05,6.46005E-05
16,4.62765E-05,5.98155E-05,6.17231E-05
17,4.43279E-05,5.73948E-05,5.96484E-05
18,4.31799E-05,5.5416E-05,5.63548E-05
19,4.15644E-05,5.35099E-05,5.424E-05
20,3.99234E-05,5.25388E-05,5.25613E-05
21,3.88898E-05,5.05435E-05,5.08952E-05
22,3.78832E-05,4.87573E-05,4.91865E-05
23,3.6849E-05,4.75265E-05,4.76446E-05
24,3.60803E-05,4.64572E-05,4.61167E-05
25,3.52813E-05,4.50005E-05,4.49756E-05
26,3.4538E-05,4.3951E-05,4.40336E-05
27,3.38535E-05,4.28488E-05,4.31052E-05
28,3.31164E-05,4.19443E-05,4.17238E-05
29,3.25494E-05,4.09531E-05,4.0902E-05
30,3.19944E-05,4.02547E-05,4.00256E-05
31,3.14653E-05,3.94518E-05,3.91791E-05
32,3.09545E-05,3.85927E-05,3.87743E-05
33,3.05544E-05,3.7816E-05,3.78638E-05
34,2.99884E-05,3.72146E-05,3.71885E-05
35,2.96515E-05,3.65638E-05,3.66291E-05
36,2.93685E-05,3.5989E-05,3.62081E-05
37,2.89818E-05,3.582E-05,3.56555E-05
38,2.91763E-05,3.50067E-05,3.55528E-05
39,2.85489E-05,3.45618E-05,3.50779E-05
40,2.84082E-05,3.40989E-05,3.46839E-05
41,2.79156E-05,3.37546E-05,3.40071E-05
42,2.7641E-05,3.342E-05,3.36636E-05
43,2.7577E-05,3.31036E-05,3.33567E-05
44,2.73536E-05,3.29579E-05,3.30099E-05
45,2.70767E-05,3.24642E-05,3.27364E-05
46,2.70076E-05,3.22442E-05,3.25591E-05
47,2.6805E-05,3.19701E-05,3.22516E-05
48,2.66216E-05,3.17976E-05,3.20595E-05
49,2.62628E-05,3.15325E-05,3.20436E-05
50,2.61179E-05,3.12557E-05,3.15991E-05
51,2.59672E-05,3.1091E-05,3.15435E-05
52,2.59383E-05,3.091E-05,3.1253E-05
53,2.57724E-05,3.06237E-05,3.10458E-05
54,2.56885E-05,3.04638E-05,3.0788E-05
55,2.564E-05,3.02109E-05,3.0608E-05
56,2.55852E-05,3.01182E-05,3.04811E-05
57,2.54571E-05,2.99075E-05,3.02548E-05
58,2.53443E-05,2.968E-05,3.0111E-05
59,2.53757E-05,2.96277E-05,2.99397E-05
60,2.54067E-05,2.94102E-05,2.97976E-05
61,2.53573E-05,2.92546E-05,2.96825E-05
62,2.51642E-05,2.91246E-05,2.95909E-05
63,2.50541E-05,2.90534E-05,2.94592E-05
64,2.52611E-05,2.90063E-05,2.93219E-05
65,2.51002E-05,2.87256E-05,2.92654E-05
66,2.50266E-05,2.86009E-05,2.92228E-05
67,2.50733E-05,2.84889E-05,2.90311E-05
68,2.50897E-05,2.83684E-05,2.88628E-05
69,2.48401E-05,2.83419E-05,2.88601E-05
70,2.48281E-05,2.82679E-05,2.87922E-05
71,2.48137E-05,2.81433E-05,2.85576E-05
72,2.48E-05,2.79737E-05,2.85331E-05
73,2.47499E-05,2.79363E-05,2.85108E-05
74,2.49074E-05,2.78248E-05,2.83702E-05
75,2.51746E-05,2.77216E-05,2.82457E-05
76,2.4722E-05,2.7688E-05,2.8195E-05
77,2.46988E-05,2.76114E-05,2.83132E-05
78,2.46415E-05,2.74949E-05,2.8077E-05
79,2.47317E-05,2.74004E-05,2.7904E-05
80,2.47945E-05,2.73243E-05,2.79238E-05
81,2.46294E-05,2.73306E-05,2.78765E-05
82,2.46434E-05,2.73634E-05,2.7766E-05
83,2.47753E-05,2.72943E-05,2.76991E-05
84,2.48023E-05,2.72097E-05,2.759E-05
85,2.46439E-05,2.70424E-05,2.76632E-05
86,2.4753E-05,2.69937E-05,2.76668E-05
87,2.45278E-05,2.69164E-05,2.74443E-05
88,2.44801E-05,2.69053E-05,2.75008E-05
89,2.44887E-05,2.68403E-05,2.7806E-05
90,2.45542E-05,2.68168E-05,2.75231E-05
91,2.4423E-05,2.68778E-05,2.72361E-05
92,2.43906E-05,2.67529E-05,2.72608E-05
93,2.44852E-05,2.66308E-05,2.71626E-05
94,2.45628E-05,2.6574E-05,2.70942E-05
95,2.4454E-05,2.64993E-05,2.71502E-05
96,2.43908E-05,2.64551E-05,2.71277E-05
97,2.44276E-05,2.64325E-05,2.71011E-05
98,2.43432E-05,2.63916E-05,2.70938E-05
99,2.45301E-05,2.6423E-05,2.69378E-05
